id;estudio;curso;idAsig;materia;class;credito
2;grado_oficial;1;GRD01;Antiguo Testamento I;Old Testament I;6
3;grado_oficial;1;GRD02;Antiguo Testamento II;Old Testament II;6
4;grado_oficial;1;GRD04;Nuevo Testamento I;New Testament I;6
5;grado_oficial;1;GRD05;Nuevo Testamento II;New Testament II ;6
6;grado_oficial;1;GRD07;Hermenéutica;Hermeneutics;4
7;grado_oficial;1;GRD09;Griego I;New Testament Greek I;8
8;grado_oficial;1;GRD17;Historia de la Iglesia I;Church History I;6
9;grado_oficial;1;GRD35;Homilética I;Homiletics I;4
10;grado_oficial;1;GRD36;Homilética II;Homiletics II;4
11;grado_oficial;1;GRD39;Discipulado;Discipleship;4
12;grado_oficial;1;GRD40;Evangelización;Evangelism;4
13;grado_oficial;1;GRD45;Metodología de la Investigación;Research and Investigation;2
14;grado_oficial;2;GRD03;Antiguo Testamento III;Old Testament III ;6
15;grado_oficial;2;GRD06;Nuevo Testamento III;New Testament III;6
16;grado_oficial;2;GRD10;Griego II;New Testament Greek II;4
17;grado_oficial;2;GRD12;Hebreo I;Hebrew I;4
18;grado_oficial;2;GRD12b;Hebreo II;Hebrew II;2
19;grado_oficial;2;GRD18;Historia de la Iglesia II;Church History II;6
20;grado_oficial;2;GRD20;Historia de la Filosofía ;Philosophy ;8
21;grado_oficial;2;GRD25;Ética I;Ethics I;4
22;grado_oficial;2;GRD28;Teología Sistemática I;Systematic Theology I;6
23;grado_oficial;2;GRD32;Historia de las Religiones;History of Religions ;6
24;grado_oficial;2;GRD37;Filosofía de la Educación;Philosophy of Education I;4
25;grado_oficial;2;GRD43;Culto Cristiano;Christian Worship;4
26;grado_oficial;3;GRD13;Exégesis de A.T. I  - Profetas;Old Testament Exegesis I - Prophets;4
27;grado_oficial;3;GRD16;Exégesis de N.T. II - Romanos;New Testament Exegesis II – Romans;4
28;grado_oficial;3;GRD23;Historia de los Bautistas I;Baptist History I;4
29;grado_oficial;3;GRD24;Historia de los Bautistas II - UEBE;Baptist History II, UEBE (Span. Bapt. Union);2
30;grado_oficial;3;GRD26;Ética II;Ethics II;4
31;grado_oficial;3;GRD29;Teología Sistemática II;Systematic Theology II;6
32;grado_oficial;3;GRD29a;Teología Sistemática III;Systematic Theology III;4
33;grado_oficial;3;GRD33;Misionología;Missiology;4
34;grado_oficial;3;GRD38;Educación Infantil;Childhood Education;4
35;grado_oficial;3;GRD44;Principios de Iglecrecimiento Integral;Principles of Church Growth;4
36;grado_oficial;3;GRD48;Consejería Pastoral I;Pastoral Counseling I;4
37;grado_oficial;3;GRD49;Consejería Pastoral II;Pastoral Counseling II;4
38;grado_oficial;3;GRD50;Métodos Exegéticos;Exegetical Methods;4
